CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;775.9521282243279
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.0
INFLOW;SURFACE WATER;Main riverstem;167.48960171
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;85.59058307877719
ERROR;ERROR;0;
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET RAIN;Natural;370.6099405367583
OUTFLOW;ET RAIN;Urban;23.28582154777368
OUTFLOW;ET RAIN;Agri;124.411619766836
OUTFLOW;ET INCREMENTAL;Natural;207.61766146088243
OUTFLOW;ET INCREMENTAL;Urban;25.507448647172616
OUTFLOW;ET INCREMENTAL;Agri;37.51109430768199
OUTFLOW;ET INCREMENTAL;Manmade;37.604414402427984
OUTFLOW;ET INCREMENTAL;Consumed Water;93.32009474600001
OUTFLOW;SURFACE WATER;Surface wateroutflow;146.768632
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0.0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;OTHER;Treated Waste Water;129.713605275
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
